date,time,press,temp,rh,wdir,wspeed,geopot,lon,lat,alt,u,v,sea,S,Cn2
2020-01-03 23:00:00,3645.0,63.709553,205.78423,0.034346847534179686,299.64853,6.5507019999999985,19125.5,-15.973559,28.260004,19044.87198,5.6930594,-3.240489,-76.89138,0.009370034769869516,7.775487374021023e-18
2020-01-03 23:00:00,3646.0,63.65563,205.79272,0.03415072202682495,299.2897,6.5186663000000005,19130.262,-15.973508,28.259968,19050.13998,5.6853013,-3.1890996,-76.89483,0.010504765078487523,8.064727969283507e-18
2020-01-03 23:00:00,3647.0,63.601837,205.82925,0.03395732641220093,298.91113,6.4834510000000005,19133.86,-15.973463,28.259935,19055.13798,5.675422,-3.1344407000000003,-76.89828,0.011719074301544265,8.185418160321054e-18
2020-01-03 23:00:00,3648.0,63.547718,205.90372,0.033766498565673826,298.51678,6.445047,19139.42,-15.973423,28.25991,19059.91598,5.663117,-3.0769687,-76.90171,0.012770880554835645,8.159582324822216e-18
2020-01-03 23:00:00,3649.0,63.492912,206.06903,0.033578855991363524,298.10852,6.403528700000002,19144.814,-15.973384,28.259893,19064.58598,5.6482763,-3.016978,-76.90516,0.01340409865124991,7.95823573381138e-18
2020-01-03 23:00:00,3650.0,63.43733,206.2517,0.033394575119018555,297.68716,6.359065,19148.69,-15.973346,28.259882,19069.345980000002,5.630936599999999,-2.9547007,-76.90859,0.013419295984712051,7.577809375104516e-18
2020-01-03 23:00:00,3651.0,63.38106,206.3734,0.033215570449829104,297.2537,6.3118324,19154.975,-15.973307,28.259870000000006,19074.42498,5.6111407,-2.8903859,-76.91202,0.013049887320918916,7.166954653574452e-18
2020-01-03 23:00:00,3652.0,63.324448,206.4155,0.03304259061813355,296.8094200000001,6.2619414,19161.793,-15.973265,28.259861,19079.85798,5.5888567,-2.8242862,-76.91545,0.01277896379930512,6.980599285139118e-18
2020-01-03 23:00:00,3653.0,63.26805,206.40916,0.03287442684173584,296.3557,6.2094510000000005,19168.008,-15.973216,28.259848,19085.52398,5.5640106,-2.7566414,-76.9189,0.012929666888345407,6.952357626950857e-18
2020-01-03 23:00:00,3654.0,63.21205,206.39241,0.032709243297576907,295.89432,6.154445,19171.393,-15.973161,28.259832,19091.168980000002,5.5365453,-2.687724,-76.92235,0.013305679991325406,6.953063112557076e-18
2020-01-03 23:00:00,3655.0,63.156517,206.37135,0.032546937465667725,295.4275,6.097106,19177.53,-15.973097,28.259811,19096.811980000002,5.5064764,-2.6179042000000003,-76.925804,0.013617351221479349,6.95270614474958e-18
2020-01-03 23:00:00,3656.0,63.10132,206.35114,0.0323848295211792,294.95834,6.0376949999999985,19182.336,-15.973028,28.259785,19102.437980000002,5.473863,-2.5476615,-76.92928,0.013752050254714149,6.948863599948264e-18
2020-01-03 23:00:00,3657.0,63.046097,206.33408,0.03222384214401245,294.4911,5.9764724000000005,19187.004,-15.972956,28.259754,19108.14398,5.4387436,-2.4775574,-76.93273,0.013827862542835934,6.943203624658554e-18
2020-01-03 23:00:00,3658.0,62.99048000000001,206.3341,0.03206162452697753,294.03018,5.9136515,19191.873,-15.972879999999998,28.259718,19113.816980000007,5.401122,-2.4081442,-76.93621,0.013966294627282631,6.9366450581050515e-18
2020-01-03 23:00:00,3659.0,62.934536,206.34846,0.03189612865447998,293.57947,5.8494462999999985,19198.947,-15.972804,28.259678000000005,19119.46198,5.361053,-2.3399,-76.93968000000002,0.014267350220076068,6.921130248851752e-18
2020-01-03 23:00:00,3660.0,62.878273,206.36488,0.03172591209411621,293.14233,5.78418,19203.688,-15.972728,28.259636,19124.900980000002,5.3187346,-2.2732801,-76.94315,0.014492048916055471,6.868018900592689e-18
2020-01-03 23:00:00,3661.0,62.821854,206.3625,0.03154906034469605,292.72238,5.718355,19209.275,-15.972654,28.259596,19130.29998,5.274538,-2.2088087000000005,-76.94663,0.014331289246923841,6.746358325370858e-18
2020-01-03 23:00:00,3662.0,62.765465,206.34325,0.03136572599411011,292.3241,5.6525807,19214.225,-15.972585999999998,28.259563,19135.70798,5.22892,-2.1471064,-76.9501,0.014104980163032372,6.594396884990821e-18
2020-01-03 23:00:00,3663.0,62.709583,206.31361,0.03117475509643555,291.95248,5.587465,19219.746,-15.972525,28.259539,19141.02798,5.182342,-2.0888028000000003,-76.95355,0.013979206251353066,6.5090006949787274e-18
2020-01-03 23:00:00,3664.0,62.654427,206.29878,0.030976693630218505,291.6118,5.523579,19225.773,-15.972471,28.259521000000003,19146.187980000002,5.1352754,-2.0344222,-76.95699,0.013755936498432179,6.500356174063907e-18
2020-01-03 23:00:00,3665.0,62.600407,206.30238,0.030773580074310306,291.305,5.4614744,19232.365,-15.972422,28.259514000000006,19151.24698,5.088235,-1.9843307,-76.96043399999998,0.013303803818115884,6.51073290752451e-18
2020-01-03 23:00:00,3666.0,62.547592,206.3183,0.03056410074234009,291.03384,5.4017296,19236.266,-15.972378,28.259512,19156.23698,5.0418043,-1.938786,-76.963875,0.012525659631744542,6.520296741920311e-18
2020-01-03 23:00:00,3667.0,62.4958,206.35709,0.03035186290740967,290.80014,5.3449802,19240.977,-15.97234,28.259512,19161.29998,4.9966197,-1.8980528000000003,-76.9673,0.011545097108242058,6.543689136124931e-18
2020-01-03 23:00:00,3668.0,62.44444300000001,206.43217,0.030138630867004395,290.60608,5.291884400000002,19244.955,-15.972307,28.259514000000006,19166.35998,4.9533215,-1.8624297,-76.97071,0.010713157740033915,6.6104609505406686e-18
